r1	NC_009925.0
r37682	NC_009504.1
r37683	NC_009504.2
r37684	NC_009504.3
r37685	NC_009504.4
r37686	NC_009505.0
r37687	NC_009505.1
r37688	NC_009505.2
r37689	NC_009505.3
r37690	NC_009505.4
r37691	NC_009717.0
r37692	NC_009717.1
r37693	NC_009717.2
r37694	NC_009717.3
r37695	NC_009717.4
r37696	NC_009720.0
r37697	NC_009720.1
r37698	NC_009720.2
r37699	NC_009720.3
r37700	NC_009720.4
r37701	NC_009718.0
r37702	NC_009718.1
r37703	NC_009718.2
r37704	NC_009718.3
r37705	NC_009718.4
r37706	NC_009515.0
r37707	NC_009515.1
r37708	NC_009515.2
r37709	NC_009515.3
r37710	NC_009515.4
r37711	NC_009662.0
r37712	NC_009662.1
r37713	NC_009662.2
r37714	NC_009662.3
r37715	NC_009662.4
r37716	NC_009725.0
r37717	NC_009725.1
r37718	NC_009725.2
r37719	NC_009725.3
r37720	NC_009725.4
r37721	NC_009337.0
r37722	NC_009337.1
r37723	NC_009337.2
r37724	NC_009337.3
r37725	NC_009337.4
r37726	NC_009523.0
r37727	NC_009523.1
r37728	NC_009523.2
r37729	NC_009523.3
r37730	NC_009523.4
r37731	NC_009524.0
r37732	NC_009524.1
r37733	NC_009524.2
r37734	NC_009524.3
r37735	NC_009524.4
r37736	NC_009376.0
r37737	NC_009376.1
r37738	NC_009376.2
r37739	NC_009376.3
r37740	NC_009376.4
r37741	NC_009379.0
r37742	NC_009379.1
r37743	NC_009379.2
r37744	NC_009379.3
r37745	NC_009379.4
r37746	NC_009438.0
r37747	NC_009438.1
r37748	NC_009438.2
r37749	NC_009438.3
r37750	NC_009438.4
r37751	NC_009434.0
r37752	NC_009434.1
r37753	NC_009434.2
r37754	NC_009434.3
r37755	NC_009434.4
r37756	NC_009439.0
r37757	NC_009439.1
r37758	NC_009439.2
r37759	NC_009439.3
r37760	NC_009439.4
r37761	NC_009440.0
r37762	NC_009440.1
r37763	NC_009440.2
r37764	NC_009440.3
r37765	NC_009440.4
r37766	NC_009441.0
r37767	NC_009441.1
r37768	NC_009441.2
r37769	NC_009441.3
r37770	NC_009441.4
r37771	NC_009425.0
r37772	NC_009425.1
r37773	NC_009425.2
r37774	NC_009425.3
r37775	NC_009425.4
r37776	NC_009436.0
r37777	NC_009436.1
r37778	NC_009436.2
r37779	NC_009436.3
r37780	NC_009436.4
r37781	NC_008209.0
r37782	NC_008209.1
r37783	NC_008209.2
r37784	NC_008209.3
r37785	NC_008209.4
r37786	NC_008386.0
r37787	NC_008386.1
r37788	NC_008386.2
r37789	NC_008386.3
r37790	NC_008386.4
r37791	NC_008387.0
r37792	NC_008387.1
r37793	NC_008387.2
r37794	NC_008387.3
r37795	NC_008387.4
r37796	NC_008277.0
r37797	NC_008277.1
r37798	NC_008277.2
r37799	NC_008277.3
r37800	NC_008277.4
r37801	NC_008564.0
r37802	NC_008564.1
r37803	NC_008564.2
r37804	NC_008564.3
r37805	NC_008564.4
r37806	NC_008565.0
r37807	NC_008565.1
r37808	NC_008565.2
r37809	NC_008565.3
r37810	NC_008565.4
r37811	NC_008567.0
r37812	NC_008567.1
r37813	NC_008567.2
r37814	NC_008567.3
r37815	NC_008567.4
r37816	NC_008278.0
r37817	NC_008278.1
r37818	NC_008278.2
r37819	NC_008278.3
r37820	NC_008278.4
r37821	NC_008312.0
r37822	NC_008312.1
r37823	NC_008312.2
r37824	NC_008312.3
r37825	NC_008312.4
r37826	NC_008255.0
r37827	NC_008255.1
r37828	NC_008255.2
r37829	NC_008255.3
r37830	NC_008255.4
r37831	NC_008319.0
r37832	NC_008319.1
r37833	NC_008319.2
r37834	NC_008319.3
r37835	NC_008319.4
r37836	NC_008698.0
r37837	NC_008698.1
r37838	NC_008698.2
r37839	NC_008698.3
r37840	NC_008698.4
r37841	NC_008696.0
r37842	NC_008696.1
r37843	NC_008696.2
r37844	NC_008696.3
r37845	NC_008696.4
r37846	NC_008344.0
r37847	NC_008344.1
r37848	NC_008344.2
r37849	NC_008344.3
r37850	NC_008344.4
r37851	NC_008341.0
r37852	NC_008341.1
r37853	NC_008341.2
r37854	NC_008341.3
r37855	NC_008341.4
r37856	NC_008342.0
r37857	NC_008342.1
r37858	NC_008342.2
r37859	NC_008342.3
r37860	NC_008342.4
r37861	NC_008346.0
r37862	NC_008346.1
r37863	NC_008346.2
r37864	NC_008346.3
r37865	NC_008346.4
r37866	NC_008347.0
r37867	NC_008347.1
r37868	NC_008347.2
r37869	NC_008347.3
r37870	NC_008347.4
r37871	NC_008358.0
r37872	NC_008358.1
r37873	NC_008358.2
r37874	NC_008358.3
r37875	NC_008358.4
r37876	NC_008390.0
r37877	NC_008390.1
r37878	NC_008390.2
r37879	NC_008390.3
r37880	NC_008390.4
r37881	NC_008391.0
r37882	NC_008391.1
r37883	NC_008391.2
r37884	NC_008391.3
r37885	NC_008391.4
r37886	NC_008392.0
r37887	NC_008392.1
r37888	NC_008392.2
r37889	NC_008392.3
r37890	NC_008392.4
r37891	NC_009615.0
r37892	NC_009615.1
r37893	NC_009615.2
r37894	NC_009615.3
r37895	NC_009615.4
r37896	NC_009613.0
r37897	NC_009613.1
r37898	NC_009613.2
r37899	NC_009613.3
r37900	NC_009613.4
r37901	NC_009617.0
r37902	NC_009617.1
r37903	NC_009617.2
r37904	NC_009617.3
r37905	NC_009617.4
r37906	NC_009634.0
r37907	NC_009634.1
r37908	NC_009634.2
r37909	NC_009634.3
r37910	NC_009634.4
r37911	NC_009635.0
r37912	NC_009635.1
r37913	NC_009635.2
r37914	NC_009635.3
r37915	NC_009635.4
r37916	NC_009831.0
r37917	NC_009831.1
r37918	NC_009831.2
r37919	NC_009831.3
r37920	NC_009831.4
r37921	NC_009829.0
r37922	NC_009829.1
r37923	NC_009829.2
r37924	NC_009829.3
r37925	NC_009829.4
r37926	NC_009832.0
r37927	NC_009832.1
r37928	NC_009832.2
r37929	NC_009832.3
r37930	NC_009832.4
r37931	NC_009667.0
r37932	NC_009667.1
r37933	NC_009667.2
r37934	NC_009667.3
r37935	NC_009667.4
r37936	NC_009668.0
r37937	NC_009668.1
r37938	NC_009668.2
r37939	NC_009668.3
r37940	NC_009668.4
r37941	NC_009669.0
r37942	NC_009669.1
r37943	NC_009669.2
r37944	NC_009669.3
r37945	NC_009669.4
r37946	NC_009670.0
r37947	NC_009670.1
r37948	NC_009670.2
r37949	NC_009670.3
r37950	NC_009670.4
r37951	NC_009671.0
r37952	NC_009671.1
r37953	NC_009671.2
r37954	NC_009671.3
r37955	NC_009671.4
r37956	NC_009654.0
r37957	NC_009654.1
r37958	NC_009654.2
r37959	NC_009654.3
r37960	NC_009654.4
r37961	NC_009664.0
r37962	NC_009664.1
r37963	NC_009664.2
r37964	NC_009664.3
r37965	NC_009664.4
r37966	NC_009806.0
r37967	NC_009806.1
r37968	NC_009806.2
r37969	NC_009806.3
r37970	NC_009806.4
r37971	NC_009659.0
r37972	NC_009659.1
r37973	NC_009659.2
r37974	NC_009659.3
r37975	NC_009659.4
r37976	NC_009482.0
r37977	NC_009482.1
r37978	NC_009482.2
r37979	NC_009482.3
r37980	NC_009482.4
r37981	NC_007929.0
r37982	NC_007929.1
r37983	NC_007929.2
r37984	NC_007929.3
r37985	NC_007929.4
r37986	NC_006530.0
r37987	NC_006530.1
r37988	NC_006530.2
r37989	NC_006530.3
r37990	NC_006530.4
r37991	NC_007930.0
r37992	NC_007930.1
r37993	NC_007930.2
r37994	NC_007930.3
r37995	NC_007930.4
r37996	NC_007954.0
r37997	NC_007954.1
r37998	NC_007954.2
r37999	NC_007954.3
r38000	NC_007954.4
r38001	NC_007948.0
r38002	NC_007948.1
r38003	NC_007948.2
r38004	NC_007948.3
r38005	NC_007948.4
r38006	NC_007949.0
r38007	NC_007949.1
r38008	NC_007949.2
r38009	NC_007949.3
r38010	NC_007949.4
r38011	NC_007950.0
r38012	NC_007950.1
r38013	NC_007950.2
r38014	NC_007950.3
r38015	NC_007950.4
r38016	NC_007947.0
r38017	NC_007947.1
r38018	NC_007947.2
r38019	NC_007947.3
r38020	NC_007947.4
r38021	NC_007955.0
r38022	NC_007955.1
r38023	NC_007955.2
r38024	NC_007955.3
r38025	NC_007955.4
r38026	NC_007952.0
r38027	NC_007952.1
r38028	NC_007952.2
r38029	NC_007952.3
r38030	NC_007952.4
r38031	NC_007953.0
r38032	NC_007953.1
r38033	NC_007953.2
r38034	NC_007953.3
r38035	NC_007953.4
r38036	NC_007951.0
r38037	NC_007951.1
r38038	NC_007951.2
r38039	NC_007951.3
r38040	NC_007951.4
r38041	NC_007759.0
r38042	NC_007759.1
r38043	NC_007759.2
r38044	NC_007759.3
r38045	NC_007759.4
r38046	NC_007964.0
r38047	NC_007964.1
r38048	NC_007964.2
r38049	NC_007964.3
r38050	NC_007964.4
r38051	NC_007959.0
r38052	NC_007959.1
r38053	NC_007959.2
r38054	NC_007959.3
r38055	NC_007959.4
r38056	NC_007960.0
r38057	NC_007960.1
r38058	NC_007960.2
r38059	NC_007960.3
r38060	NC_007960.4
r38061	NC_007961.0
r38062	NC_007961.1
r38063	NC_007961.2
r38064	NC_007961.3
r38065	NC_007961.4
r38066	NC_007963.0
r38067	NC_007963.1
r38068	NC_007963.2
r38069	NC_007963.3
r38070	NC_007963.4
r38071	NC_008044.0
r38072	NC_008044.1
r38073	NC_008044.2
r38074	NC_008044.3
r38075	NC_008044.4
r38076	NC_008042.0
r38077	NC_008042.1
r38078	NC_008042.2
r38079	NC_008042.3
r38080	NC_008042.4
r38081	NC_008043.0
r38082	NC_008043.1
r38083	NC_008043.2
r38084	NC_008043.3
r38085	NC_008043.4
r38086	NC_007973.0
r38087	NC_007973.1
r38088	NC_007973.2
r38089	NC_007973.3
r38090	NC_007973.4
r38091	NC_007974.0
r38092	NC_007974.1
r38093	NC_007974.2
r38094	NC_007974.3
r38095	NC_007974.4
r38096	NC_007971.0
r38097	NC_007971.1
r38098	NC_007971.2
r38099	NC_007971.3
r38100	NC_007971.4
r38101	NC_007972.0
r38102	NC_007972.1
r38103	NC_007972.2
r38104	NC_007972.3
r38105	NC_007972.4
r38106	NC_007969.0
r38107	NC_007969.1
r38108	NC_007969.2
r38109	NC_007969.3
r38110	NC_007969.4
r38111	NC_007984.0
r38112	NC_007984.1
r38113	NC_007984.2
r38114	NC_007984.3
r38115	NC_007984.4
r38116	NC_008011.0
r38117	NC_008011.1
r38118	NC_008011.2
r38119	NC_008011.3
r38120	NC_008011.4
r38121	NC_008014.0
r38122	NC_008014.1
r38123	NC_008014.2
r38124	NC_008014.3
r38125	NC_008014.4
r38126	NC_008025.0
r38127	NC_008025.1
r38128	NC_008025.2
r38129	NC_008025.3
r38130	NC_008025.4
r38131	NC_008010.0
r38132	NC_008010.1
r38133	NC_008010.2
r38134	NC_008010.3
r38135	NC_008010.4
r38136	NC_009939.0
r38137	NC_009939.1
r38138	NC_009939.2
r38139	NC_009939.3
r38140	NC_009939.4
r38141	NC_008048.0
r38142	NC_008048.1
r38143	NC_008048.2
r38144	NC_008048.3
r38145	NC_008048.4
r38146	NC_008254.0
r38147	NC_008254.1
r38148	NC_008254.2
r38149	NC_008254.3
r38150	NC_008254.4
r38151	NC_008242.0
r38152	NC_008242.1
r38153	NC_008242.2
r38154	NC_008242.3
r38155	NC_008242.4
r38156	NC_008243.0
r38157	NC_008243.1
r38158	NC_008243.2
r38159	NC_008243.3
r38160	NC_008243.4
r38161	NC_008146.0
r38162	NC_008146.1
r38163	NC_008146.2
r38164	NC_008146.3
r38165	NC_008146.4
r38166	NC_008147.0
r38167	NC_008147.1
r38168	NC_008147.2
r38169	NC_008147.3
r38170	NC_008147.4
r38171	NC_008148.0
r38172	NC_008148.1
r38173	NC_008148.2
r38174	NC_008148.3
r38175	NC_008148.4
r38176	NC_008228.0
r38177	NC_008228.1
r38178	NC_008228.2
r38179	NC_008228.3
r38180	NC_008228.4
r38181	NC_008528.0
r38182	NC_008528.1
r38183	NC_008528.2
r38184	NC_008528.3
r38185	NC_008528.4
r38186	NC_008229.0
r38187	NC_008229.1
r38188	NC_008229.2
r38189	NC_008229.3
r38190	NC_008229.4
r38191	NC_008212.0
r38192	NC_008212.1
r38193	NC_008212.2
r38194	NC_008212.3
r38195	NC_008212.4
r38196	NC_005877.0
r38197	NC_005877.1
r38198	NC_005877.2
r38199	NC_005877.3
r38200	NC_005877.4
r38201	NC_007481.0
r38202	NC_007481.1
r38203	NC_007481.2
r38204	NC_007481.3
r38205	NC_007481.4
r38206	NC_007482.0
r38207	NC_007482.1
r38208	NC_007482.2
r38209	NC_007482.3
r38210	NC_007482.4
r38211	NC_007204.0
r38212	NC_007204.1
r38213	NC_007204.2
r38214	NC_007204.3
r38215	NC_007204.4
r38216	NC_003364.0
r38217	NC_003364.1
r38218	NC_003364.2
r38219	NC_003364.3
r38220	NC_003364.4
r38221	NC_000868.0
r38222	NC_000868.1
r38223	NC_000868.2
r38224	NC_000868.3
r38225	NC_000868.4
r38226	NC_003413.0
r38227	NC_003413.1
r38228	NC_003413.2
r38229	NC_003413.3
r38230	NC_003413.4
r38231	NC_000961.0
r38232	NC_000961.1
r38233	NC_000961.2
r38234	NC_000961.3
r38235	NC_000961.4
r38236	NC_011386.0
r38237	NC_011386.1
r38238	NC_011386.2
r38239	NC_011386.3
r38240	NC_011386.4
r38241	NC_011420.0
r38242	NC_011420.1
r38243	NC_011420.2
r38244	NC_011420.3
r38245	NC_011420.4
r38246	NC_006087.0
r38247	NC_006087.1
r38248	NC_006087.2
r38249	NC_006087.3
r38250	NC_006087.4
r38251	NC_006085.0
r38252	NC_006085.1
r38253	NC_006085.2
r38254	NC_006085.3
r38255	NC_006085.4
r38256	NC_007912.0
r38257	NC_007912.1
r38258	NC_007912.2
r38259	NC_007912.3
r38260	NC_007912.4
r38261	NC_007333.0
r38262	NC_007333.1
r38263	NC_007333.2
r38264	NC_007333.3
r38265	NC_007333.4
r38266	NC_007777.0
r38267	NC_007777.1
r38268	NC_007777.2
r38269	NC_007777.3
r38270	NC_007777.4
r38271	NC_011296.0
r38272	NC_011296.1
r38273	NC_011296.2
r38274	NC_011296.3
r38275	NC_011296.4
r38276	NC_007794.0
r38277	NC_007794.1
r38278	NC_007794.2
r38279	NC_007794.3
r38280	NC_007794.4
r38281	NC_009426.0
r38282	NC_009426.1
r38283	NC_009426.2
r38284	NC_009426.3
r38285	NC_009426.4
r38286	NC_009427.0
r38287	NC_009427.1
r38288	NC_009427.2
r38289	NC_009427.3
r38290	NC_009427.4
r38291	NC_007796.0
r38292	NC_007796.1
r38293	NC_007796.2
r38294	NC_007796.3
r38295	NC_007796.4
r38296	NC_007802.0
r38297	NC_007802.1
r38298	NC_007802.2
r38299	NC_007802.3
r38300	NC_007802.4
r38301	NC_007801.0
r38302	NC_007801.1
r38303	NC_007801.2
r38304	NC_007801.3
r38305	NC_007801.4
r38306	NC_007798.0
r38307	NC_007798.1
r38308	NC_007798.2
r38309	NC_007798.3
r38310	NC_007798.4
r38311	NC_007799.0
r38312	NC_007799.1
r38313	NC_007799.2
r38314	NC_007799.3
r38315	NC_007799.4
r38316	NC_007908.0
r38317	NC_007908.1
r38318	NC_007908.2
r38319	NC_007908.3
r38320	NC_007908.4
r38321	NC_007901.0
r38322	NC_007901.1
r38323	NC_007901.2
r38324	NC_007901.3
r38325	NC_007901.4
r38326	NC_007907.0
r38327	NC_007907.1
r38328	NC_007907.2
r38329	NC_007907.3
r38330	NC_007907.4
r38331	NC_008268.0
r38332	NC_008268.1
r38333	NC_008268.2
r38334	NC_008268.3
r38335	NC_008268.4
r38336	NC_008269.0
r38337	NC_008269.1
r38338	NC_008269.2
r38339	NC_008269.3
r38340	NC_008269.4
r38341	NC_008270.0
r38342	NC_008270.1
r38343	NC_008270.2
r38344	NC_008270.3
r38345	NC_008270.4
r38346	NC_008271.0
r38347	NC_008271.1
r38348	NC_008271.2
r38349	NC_008271.3
r38350	NC_008271.4
r38351	NC_007899.0
r38352	NC_007899.1
r38353	NC_007899.2
r38354	NC_007899.3
r38355	NC_007899.4
r38356	NC_006526.0
r38357	NC_006526.1
r38358	NC_006526.2
r38359	NC_006526.3
r38360	NC_006526.4
r38361	NC_007644.0
r38362	NC_007644.1
r38363	NC_007644.2
r38364	NC_007644.3
r38365	NC_007644.4
r38366	NC_007633.0
r38367	NC_007633.1
r38368	NC_007633.2
r38369	NC_007633.3
r38370	NC_007633.4
r38371	NC_004829.0
r38372	NC_004829.1
r38373	NC_004829.2
r38374	NC_004829.3
r38375	NC_004829.4
r38376	NC_000908.0
r38377	NC_000908.1
r38378	NC_000908.2
r38379	NC_000908.3
r38380	NC_000908.4
r38381	NC_006908.0
r38382	NC_006908.1
r38383	NC_006908.2
r38384	NC_006908.3
r38385	NC_006908.4
r38386	NC_005364.0
r38387	NC_005364.1
r38388	NC_005364.2
r38389	NC_005364.3
r38390	NC_005364.4
r38391	NC_004432.0
r38392	NC_004432.1
r38393	NC_004432.2
r38394	NC_004432.3
r38395	NC_004432.4
r38396	NC_000912.0
r38397	NC_000912.1
r38398	NC_000912.2
r38399	NC_000912.3
r38400	NC_000912.4
r38401	NC_002771.0
r38402	NC_002771.1
r38403	NC_002771.2
r38404	NC_002771.3
r38405	NC_002771.4
r38406	NC_007294.0
r38407	NC_007294.1
r38408	NC_007294.2
r38409	NC_007294.3
r38410	NC_007294.4
r38411	NC_005213.0
r38412	NC_005213.1
r38413	NC_005213.2
r38414	NC_005213.3
r38415	NC_005213.4
r38416	NC_007426.0
r38417	NC_007426.1
r38418	NC_007426.2
r38419	NC_007426.3
r38420	NC_007426.4
r38421	NC_007427.0
r38422	NC_007427.1
r38423	NC_007427.2
r38424	NC_007427.3
r38425	NC_007427.4
r38426	NC_007406.0
r38427	NC_007406.1
r38428	NC_007406.2
r38429	NC_007406.3
r38430	NC_007406.4
r38431	NC_007484.0
r38432	NC_007484.1
r38433	NC_007484.2
r38434	NC_007484.3
r38435	NC_007484.4
r38436	NC_004757.0
r38437	NC_004757.1
r38438	NC_004757.2
r38439	NC_004757.3
r38440	NC_004757.4
r38441	NC_007614.0
r38442	NC_007614.1
r38443	NC_007614.2
r38444	NC_007614.3
r38445	NC_007614.4
r38446	NC_006361.0
r38447	NC_006361.1
r38448	NC_006361.2
r38449	NC_006361.3
r38450	NC_006361.4
r38451	NC_006362.0
r38452	NC_006362.1
r38453	NC_006362.2
r38454	NC_006362.3
r38455	NC_006362.4
r38456	NC_006363.0
r38457	NC_006363.1
r38458	NC_006363.2
r38459	NC_006363.3
r38460	NC_006363.4
r38461	NC_004193.0
r38462	NC_004193.1
r38463	NC_004193.2
r38464	NC_004193.3
r38465	NC_004193.4
r38466	NC_005303.0
r38467	NC_005303.1
r38468	NC_005303.2
r38469	NC_005303.3
r38470	NC_005303.4
r38471	NC_005861.0
r38472	NC_005861.1
r38473	NC_005861.2
r38474	NC_005861.3
r38475	NC_005861.4
r38476	NC_002663.0
r38477	NC_002663.1
r38478	NC_002663.2
r38479	NC_002663.3
r38480	NC_002663.4
r38481	NC_007498.0
r38482	NC_007498.1
r38483	NC_007498.2
r38484	NC_007498.3
r38485	NC_007498.4
r38486	NC_010546.0
r38487	NC_010546.1
r38488	NC_010546.2
r38489	NC_010546.3
r38490	NC_010546.4
r38491	NC_010547.0
r38492	NC_010547.1
r38493	NC_010547.2
r38494	NC_010547.3
r38495	NC_010547.4
r38496	NC_007512.0
r38497	NC_007512.1
r38498	NC_007512.2
r38499	NC_007512.3
r38500	NC_007512.4
r38501	NC_005871.0
r38502	NC_005871.1
r38503	NC_005871.2
r38504	NC_005871.3
r38505	NC_005871.4
r38506	NC_006370.0
r38507	NC_006370.1
r38508	NC_006370.2
r38509	NC_006370.3
r38510	NC_006370.4
r38511	NC_006371.0
r38512	NC_006371.1
r38513	NC_006371.2
r38514	NC_006371.3
r38515	NC_006371.4
r38516	NC_005126.0
r38517	NC_005126.1
r38518	NC_005126.2
r38519	NC_005126.3
r38520	NC_005126.4
r38521	NC_008095.0
r38522	NC_008095.1
r38523	NC_008095.2
r38524	NC_008095.3
r38525	NC_008095.4
r38526	NC_008596.0
r38527	NC_008596.1
r38528	NC_008596.2
r38529	NC_008596.3
r38530	NC_008596.4
r38531	NC_007514.0
r38532	NC_007514.1
r38533	NC_007514.2
r38534	NC_007514.3
r38535	NC_007514.4
r38536	NC_002932.0
r38537	NC_002932.1
r38538	NC_002932.2
r38539	NC_002932.3
r38540	NC_002932.4
r38541	NC_005085.0
r38542	NC_005085.1
r38543	NC_005085.2
r38544	NC_005085.3
r38545	NC_005085.4
r38546	NC_001988.0
r38547	NC_001988.1
r38548	NC_001988.2
r38549	NC_001988.3
r38550	NC_001988.4
r38551	NC_003030.0
r38552	NC_003030.1
r38553	NC_003030.2
r38554	NC_003030.3
r38555	NC_003030.4
r38556	NC_004557.0
r38557	NC_004557.1
r38558	NC_004557.2
r38559	NC_004557.3
r38560	NC_004557.4
r38561	NC_004565.0
r38562	NC_004565.1
r38563	NC_004565.2
r38564	NC_004565.3
r38565	NC_004565.4
r38566	NC_003910.0
r38567	NC_003910.1
r38568	NC_003910.2
r38569	NC_003910.3
r38570	NC_003910.4
r38571	NC_002935.0
r38572	NC_002935.1
r38573	NC_002935.2
r38574	NC_002935.3
r38575	NC_002935.4
r38576	NC_004369.0
r38577	NC_004369.1
r38578	NC_004369.2
r38579	NC_004369.3
r38580	NC_004369.4
r38581	NC_007164.0
r38582	NC_007164.1
r38583	NC_007164.2
r38584	NC_007164.3
r38585	NC_007164.4
r38586	NC_008027.0
r38587	NC_008027.1
r38588	NC_008027.2
r38589	NC_008027.3
r38590	NC_008027.4
r38591	NC_008571.0
r38592	NC_008571.1
r38593	NC_008571.2
r38594	NC_008571.3
r38595	NC_008571.4
r38596	NC_007298.0
r38597	NC_007298.1
r38598	NC_007298.2
r38599	NC_007298.3
r38600	NC_007298.4
r38601	NC_007356.0
r38602	NC_007356.1
r38603	NC_007356.2
r38604	NC_007356.3
r38605	NC_007356.4
r38606	NC_002936.0
r38607	NC_002936.1
r38608	NC_002936.2
r38609	NC_002936.3
r38610	NC_002936.4
r38611	NC_000958.0
r38612	NC_000958.1
r38613	NC_000958.2
r38614	NC_000958.3
r38615	NC_000958.4
r38616	NC_001263.0
r38617	NC_001263.1
r38618	NC_001263.2
r38619	NC_001263.3
r38620	NC_001263.4
r38621	NC_001264.0
r38622	NC_001264.1
r38623	NC_001264.2
r38624	NC_001264.3
r38625	NC_001264.4
r38626	NC_006138.0
r38627	NC_006138.1
r38628	NC_006138.2
r38629	NC_006138.3
r38630	NC_006138.4
r38631	NC_006139.0
r38632	NC_006139.1
r38633	NC_006139.2
r38634	NC_006139.3
r38635	NC_006139.4
r38636	NC_007519.0
r38637	NC_007519.1
r38638	NC_007519.2
r38639	NC_007519.3
r38640	NC_007519.4
r38641	NC_007355.0
r38642	NC_007355.1
r38643	NC_007355.2
r38644	NC_007355.3
r38645	NC_007355.4
r38646	NC_003901.0
r38647	NC_003901.1
r38648	NC_003901.2
r38649	NC_003901.3
r38650	NC_003901.4
r38651	NC_002677.0
r38652	NC_002677.1
r38653	NC_002677.2
r38654	NC_002677.3
r38655	NC_002677.4
r38656	NC_007681.0
r38657	NC_007681.1
r38658	NC_007681.2
r38659	NC_007681.3
r38660	NC_007681.4
r38661	NC_002977.0
r38662	NC_002977.1
r38663	NC_002977.2
r38664	NC_002977.3
r38665	NC_002977.4
r38666	NC_003919.0
r38667	NC_003919.1
r38668	NC_003919.2
r38669	NC_003919.3
r38670	NC_003919.4
r38671	NC_003922.0
r38672	NC_003922.1
r38673	NC_003922.2
r38674	NC_003922.3
r38675	NC_003922.4
r38676	NC_008531.0
r38677	NC_008531.1
r38678	NC_008531.2
r38679	NC_008531.3
r38680	NC_008531.4
r38681	NC_010162.0
r38682	NC_010162.1
r38683	NC_010162.2
r38684	NC_010162.3
r38685	NC_010162.4
r38686	NC_010172.0
r38687	NC_010172.1
r38688	NC_010172.2
r38689	NC_010172.3
r38690	NC_010172.4
r38691	NC_010175.0
r38692	NC_010175.1
r38693	NC_010175.2
r38694	NC_010175.3
r38695	NC_010175.4
r38696	NC_010296.0
r38697	NC_010296.1
r38698	NC_010296.2
r38699	NC_010296.3
r38700	NC_010296.4
r38701	NC_010320.0
r38702	NC_010320.1
r38703	NC_010320.2
r38704	NC_010320.3
r38705	NC_010320.4
r38706	NC_010334.0
r38707	NC_010334.1
r38708	NC_010334.2
r38709	NC_010334.3
r38710	NC_010334.4
r38711	NC_009954.0
r38712	NC_009954.1
r38713	NC_009954.2
r38714	NC_009954.3
r38715	NC_009954.4
r38716	NC_010333.0
r38717	NC_010333.1
r38718	NC_010333.2
r38719	NC_010333.3
r38720	NC_010333.4
r38721	NC_010335.0
r38722	NC_010335.1
r38723	NC_010335.2
r38724	NC_010335.3
r38725	NC_010335.4
r38726	NC_010338.0
r38727	NC_010338.1
r38728	NC_010338.2
r38729	NC_010338.3
r38730	NC_010338.4
r38731	NC_009943.0
r38732	NC_009943.1
r38733	NC_009943.2
r38734	NC_009943.3
r38735	NC_009943.4
r38736	NC_010366.0
r38737	NC_010366.1
r38738	NC_010366.2
r38739	NC_010366.3
r38740	NC_010366.4
r38741	NC_010369.0
r38742	NC_010369.1
r38743	NC_010369.2
r38744	NC_010369.3
r38745	NC_010369.4
r38746	NC_010368.0
r38747	NC_010368.1
r38748	NC_010368.2
r38749	NC_010368.3
r38750	NC_010368.4
r38751	NC_010364.0
r38752	NC_010364.1
r38753	NC_010364.2
r38754	NC_010364.3
r38755	NC_010364.4
r38756	NC_010003.0
r38757	NC_010003.1
r38758	NC_010003.2
r38759	NC_010003.3
r38760	NC_010003.4
r38761	NC_009972.0
r38762	NC_009972.1
r38763	NC_009972.2
r38764	NC_009972.3
r38765	NC_009972.4
r38766	NC_009973.0
r38767	NC_009973.1
r38768	NC_009973.2
r38769	NC_009973.3
r38770	NC_009973.4
r38771	NC_009974.0
r38772	NC_009974.1
r38773	NC_009974.2
r38774	NC_009974.3
r38775	NC_009974.4
r38776	NC_010371.0
r38777	NC_010371.1
r38778	NC_010371.2
r38779	NC_010371.3
r38780	NC_010371.4
r38781	NC_010376.0
r38782	NC_010376.1
r38783	NC_010376.2
r38784	NC_010376.3
r38785	NC_010376.4
r38786	NC_010474.0
r38787	NC_010474.1
r38788	NC_010474.2
r38789	NC_010474.3
r38790	NC_010474.4
r38791	NC_010475.0
r38792	NC_010475.1
r38793	NC_010475.2
r38794	NC_010475.3
r38795	NC_010475.4
r38796	NC_010480.0
r38797	NC_010480.1
r38798	NC_010480.2
r38799	NC_010480.3
r38800	NC_010480.4
r38801	NC_010002.0
r38802	NC_010002.1
r38803	NC_010002.2
r38804	NC_010002.3
r38805	NC_010002.4
r38806	NC_010001.0
r38807	NC_010001.1
r38808	NC_010001.2
r38809	NC_010001.3
r38810	NC_010001.4
r38811	NC_010471.0
r38812	NC_010471.1
r38813	NC_010471.2
r38814	NC_010471.3
r38815	NC_010471.4
r38816	NC_010645.0
r38817	NC_010645.1
r38818	NC_010645.2
r38819	NC_010645.3
r38820	NC_010645.4
r38821	NC_010080.0
r38822	NC_010080.1
r38823	NC_010080.2
r38824	NC_010080.3
r38825	NC_010080.4
r38826	NC_011144.0
r38827	NC_011144.1
r38828	NC_011144.2
r38829	NC_011144.3
r38830	NC_011144.4
r38831	NC_011143.0
r38832	NC_011143.1
r38833	NC_011143.2
r38834	NC_011143.3
r38835	NC_011143.4
r38836	NC_010373.0
r38837	NC_010373.1
r38838	NC_010373.2
r38839	NC_010373.3
r38840	NC_010373.4
r38841	NC_010511.0
r38842	NC_010511.1
r38843	NC_010511.2
r38844	NC_010511.3
r38845	NC_010511.4
r38846	NC_010125.0
